Local time,Open,High,Low,Close,Volume
06.07.2021 07:00:00.000 GMT+0100,0.75765,0.75982,0.75731,0.75965,2526850.0059999996
06.07.2021 07:15:00.000 GMT+0100,0.75965,0.75985,0.75868,0.75906,2437819.992
06.07.2021 07:30:00.000 GMT+0100,0.75908,0.75909,0.75838,0.75875,1452619.9991
06.07.2021 07:45:00.000 GMT+0100,0.75878,0.75911,0.75844,0.75904,973580.0055
06.07.2021 08:00:00.000 GMT+0100,0.75902,0.75903,0.75814,0.75834,2602070.0073
06.07.2021 08:15:00.000 GMT+0100,0.75834,0.75861,0.75818,0.75829,1381770.0006000006
06.07.2021 08:30:00.000 GMT+0100,0.75832,0.75855,0.75765,0.75806,1903370.0106
06.07.2021 08:45:00.000 GMT+0100,0.75806,0.75851,0.75776,0.75796,1538400.0169
06.07.2021 09:00:00.000 GMT+0100,0.75795,0.75811,0.75749,0.75763,2163989.9979999997
06.07.2021 09:15:00.000 GMT+0100,0.75763,0.75772,0.75701,0.75725,1579170.0209
06.07.2021 09:30:00.000 GMT+0100,0.75727,0.75780,0.75699,0.75760,1715890.0298999997
06.07.2021 09:45:00.000 GMT+0100,0.75756,0.75800,0.75738,0.75788,1136850.0044
06.07.2021 10:00:00.000 GMT+0100,0.75788,0.75808,0.75763,0.75769,1538980.0111
06.07.2021 10:15:00.000 GMT+0100,0.75769,0.75775,0.75716,0.75730,1549049.9993999999
06.07.2021 10:30:00.000 GMT+0100,0.75732,0.75758,0.75669,0.75751,1357279.9950000003
06.07.2021 10:45:00.000 GMT+0100,0.75751,0.75790,0.75736,0.75774,1228349.9906
06.07.2021 11:00:00.000 GMT+0100,0.75774,0.75808,0.75764,0.75804,1201819.9844000002
06.07.2021 11:15:00.000 GMT+0100,0.75802,0.75848,0.75778,0.75785,1250139.9955999998
06.07.2021 11:30:00.000 GMT+0100,0.75786,0.75812,0.75746,0.75784,1263049.9955000002
06.07.2021 11:45:00.000 GMT+0100,0.75786,0.75792,0.75737,0.75740,1029060.0128999999
06.07.2021 12:00:00.000 GMT+0100,0.75740,0.75767,0.75732,0.75734,1002029.9911000001
06.07.2021 12:15:00.000 GMT+0100,0.75734,0.75800,0.75731,0.75800,821000.0038
06.07.2021 12:30:00.000 GMT+0100,0.75800,0.75802,0.75753,0.75753,1051509.9812
06.07.2021 12:45:00.000 GMT+0100,0.75755,0.75759,0.75711,0.75737,1253850.0006000001
06.07.2021 13:00:00.000 GMT+0100,0.75737,0.75800,0.75715,0.75716,1462100.0060999999
06.07.2021 13:15:00.000 GMT+0100,0.75715,0.75747,0.75673,0.75747,1741570.0150000001
06.07.2021 13:30:00.000 GMT+0100,0.75750,0.75799,0.75742,0.75771,2087020.0043
06.07.2021 13:45:00.000 GMT+0100,0.75771,0.75780,0.75636,0.75655,1463069.9997999996
06.07.2021 14:00:00.000 GMT+0100,0.75655,0.75667,0.75523,0.75528,3001089.9964999994
06.07.2021 14:15:00.000 GMT+0100,0.75527,0.75588,0.75517,0.75545,2073189.9948000005
06.07.2021 14:30:00.000 GMT+0100,0.75546,0.75560,0.75419,0.75438,3342769.996700001
06.07.2021 14:45:00.000 GMT+0100,0.75440,0.75506,0.75418,0.75443,3055039.9933
06.07.2021 15:00:00.000 GMT+0100,0.75447,0.75469,0.75306,0.75370,4377389.984199999
06.07.2021 15:15:00.000 GMT+0100,0.75370,0.75371,0.75092,0.75100,4700339.9812
06.07.2021 15:30:00.000 GMT+0100,0.75098,0.75191,0.74899,0.75147,3906740.0207
06.07.2021 15:45:00.000 GMT+0100,0.75147,0.75166,0.74971,0.75006,3761379.989499999
06.07.2021 16:00:00.000 GMT+0100,0.75010,0.75027,0.74902,0.74906,2926469.985800001
06.07.2021 16:15:00.000 GMT+0100,0.74905,0.75000,0.74868,0.74993,2548310.0204
06.07.2021 16:30:00.000 GMT+0100,0.74994,0.75075,0.74990,0.75006,1840999.9696
06.07.2021 16:45:00.000 GMT+0100,0.75005,0.75010,0.74939,0.74974,1719340.0117000001
06.07.2021 17:00:00.000 GMT+0100,0.74975,0.74976,0.74865,0.74880,1703020.0042
06.07.2021 17:15:00.000 GMT+0100,0.74883,0.74918,0.74844,0.74883,1490950.0007
06.07.2021 17:30:00.000 GMT+0100,0.74885,0.74886,0.74803,0.74840,1722269.9966
06.07.2021 17:45:00.000 GMT+0100,0.74841,0.74867,0.74815,0.74860,979020.0043000001
06.07.2021 18:00:00.000 GMT+0100,0.74861,0.74897,0.74840,0.74897,1051730.0033
06.07.2021 18:15:00.000 GMT+0100,0.74897,0.74934,0.74884,0.74933,895579.9998999999
06.07.2021 18:30:00.000 GMT+0100,0.74933,0.74934,0.74870,0.74896,414079.99789999996
06.07.2021 18:45:00.000 GMT+0100,0.74899,0.74955,0.74897,0.74949,567830.0002
06.07.2021 19:00:00.000 GMT+0100,0.74948,0.74955,0.74904,0.74904,558740.0036
06.07.2021 19:15:00.000 GMT+0100,0.74905,0.74946,0.74900,0.74944,427349.9979999999
06.07.2021 19:30:00.000 GMT+0100,0.74946,0.74981,0.74946,0.74965,493459.99720000004
06.07.2021 19:45:00.000 GMT+0100,0.74965,0.74986,0.74956,0.74962,740359.9928000001
06.07.2021 20:00:00.000 GMT+0100,0.74962,0.74973,0.74957,0.74971,330140.0019
06.07.2021 20:15:00.000 GMT+0100,0.74970,0.74991,0.74954,0.74984,405319.9979999999
06.07.2021 20:30:00.000 GMT+0100,0.74985,0.74992,0.74956,0.74982,575079.9962
06.07.2021 20:45:00.000 GMT+0100,0.74982,0.75002,0.74932,0.74936,702240.0092
06.07.2021 21:00:00.000 GMT+0100,0.74937,0.74955,0.74919,0.74920,368479.99999999994
06.07.2021 21:15:00.000 GMT+0100,0.74921,0.74946,0.74920,0.74946,201060.002
06.07.2021 21:30:00.000 GMT+0100,0.74946,0.74950,0.74936,0.74948,117349.9989
06.07.2021 21:45:00.000 GMT+0100,0.74950,0.74950,0.74916,0.74916,290510.0015000001
06.07.2021 22:00:00.000 GMT+0100,0.74916,0.74944,0.74916,0.74944,72680.00050000001
06.07.2021 22:15:00.000 GMT+0100,0.74923,0.74943,0.74916,0.74916,33899.9997
06.07.2021 22:30:00.000 GMT+0100,0.74916,0.74939,0.74916,0.74939,69879.9997
06.07.2021 22:45:00.000 GMT+0100,0.74938,0.74943,0.74937,0.74941,32609.999799999998
06.07.2021 23:00:00.000 GMT+0100,0.74942,0.74947,0.74925,0.74931,106839.9987
06.07.2021 23:15:00.000 GMT+0100,0.74934,0.74938,0.74913,0.74929,232989.9987
06.07.2021 23:30:00.000 GMT+0100,0.74930,0.74930,0.74886,0.74927,575259.9982999999
06.07.2021 23:45:00.000 GMT+0100,0.74927,0.74951,0.74921,0.74930,236559.99820000003
07.07.2021 00:00:00.000 GMT+0100,0.74929,0.74940,0.74919,0.74939,359670.0013
07.07.2021 00:15:00.000 GMT+0100,0.74940,0.74957,0.74928,0.74948,385360.00289999996
07.07.2021 00:30:00.000 GMT+0100,0.74948,0.74972,0.74931,0.74969,304710.001
07.07.2021 00:45:00.000 GMT+0100,0.74970,0.74970,0.74931,0.74942,418640.00120000006
07.07.2021 01:00:00.000 GMT+0100,0.74943,0.74952,0.74883,0.74913,1238179.9945999999
07.07.2021 01:15:00.000 GMT+0100,0.74912,0.74919,0.74824,0.74914,1335240.0092999998
07.07.2021 01:30:00.000 GMT+0100,0.74915,0.74958,0.74900,0.74946,1133299.9917000001
07.07.2021 01:45:00.000 GMT+0100,0.74946,0.74951,0.74901,0.74928,1513830.0019
07.07.2021 02:00:00.000 GMT+0100,0.74927,0.74947,0.74867,0.74902,1316160.0038
07.07.2021 02:15:00.000 GMT+0100,0.74901,0.74938,0.74892,0.74934,1230420.0095
07.07.2021 02:30:00.000 GMT+0100,0.74934,0.74943,0.74886,0.74908,932469.9992999999
07.07.2021 02:45:00.000 GMT+0100,0.74909,0.74936,0.74903,0.74921,639730.0021999999
07.07.2021 03:00:00.000 GMT+0100,0.74921,0.74932,0.74882,0.74886,921759.9963
07.07.2021 03:15:00.000 GMT+0100,0.74889,0.74897,0.74874,0.74887,453710.0021000001
07.07.2021 03:30:00.000 GMT+0100,0.74888,0.74898,0.74842,0.74849,458549.9993
07.07.2021 03:45:00.000 GMT+0100,0.74853,0.74873,0.74832,0.74863,786820.0055
07.07.2021 04:00:00.000 GMT+0100,0.74863,0.74895,0.74839,0.74889,540530.0075000001
07.07.2021 04:15:00.000 GMT+0100,0.74889,0.74935,0.74882,0.74930,452900.0014
07.07.2021 04:30:00.000 GMT+0100,0.74925,0.74933,0.74899,0.74907,387950.00230000005
07.07.2021 04:45:00.000 GMT+0100,0.74908,0.74929,0.74901,0.74913,235330.00010000003
07.07.2021 05:00:00.000 GMT+0100,0.74914,0.74958,0.74914,0.74958,328400.0052000001
07.07.2021 05:15:00.000 GMT+0100,0.74959,0.74979,0.74952,0.74977,256149.99790000002
07.07.2021 05:30:00.000 GMT+0100,0.74978,0.74978,0.74929,0.74957,437960.00299999997
07.07.2021 05:45:00.000 GMT+0100,0.74956,0.74958,0.74907,0.74948,584340.0059
07.07.2021 06:00:00.000 GMT+0100,0.74946,0.74978,0.74942,0.74969,580539.9904
07.07.2021 06:15:00.000 GMT+0100,0.74973,0.74998,0.74962,0.74987,574379.9972
07.07.2021 06:30:00.000 GMT+0100,0.74988,0.75046,0.74978,0.75045,981839.9887000001
07.07.2021 06:45:00.000 GMT+0100,0.75047,0.75062,0.75023,0.75045,747880.0020999999
07.07.2021 07:00:00.000 GMT+0100,0.75045,0.75045,0.74961,0.74987,1624510.0096
07.07.2021 07:15:00.000 GMT+0100,0.74990,0.75025,0.74984,0.75025,1016920.0019
07.07.2021 07:30:00.000 GMT+0100,0.75025,0.75067,0.75006,0.75053,779050.0031999998
07.07.2021 07:45:00.000 GMT+0100,0.75051,0.75083,0.75036,0.75067,724240.0055000001
07.07.2021 08:00:00.000 GMT+0100,0.75065,0.75088,0.74967,0.74989,1559540.0012999997
07.07.2021 08:15:00.000 GMT+0100,0.74990,0.75085,0.74989,0.75081,1123459.9989999998
07.07.2021 08:30:00.000 GMT+0100,0.75080,0.75080,0.74991,0.75062,1546789.9971
07.07.2021 08:45:00.000 GMT+0100,0.75063,0.75123,0.75063,0.75089,1128439.9871999999
07.07.2021 09:00:00.000 GMT+0100,0.75089,0.75154,0.75067,0.75124,1601309.9900000002
07.07.2021 09:15:00.000 GMT+0100,0.75124,0.75148,0.75097,0.75111,1038360.0045
07.07.2021 09:30:00.000 GMT+0100,0.75109,0.75132,0.74986,0.75016,1305049.9915
07.07.2021 09:45:00.000 GMT+0100,0.75016,0.75055,0.75008,0.75052,964119.9968999999
07.07.2021 10:00:00.000 GMT+0100,0.75051,0.75085,0.75045,0.75058,1261829.9979
07.07.2021 10:15:00.000 GMT+0100,0.75059,0.75076,0.75047,0.75073,1335630.0219
07.07.2021 10:30:00.000 GMT+0100,0.75074,0.75140,0.75068,0.75118,708670.0019999999
07.07.2021 10:45:00.000 GMT+0100,0.75120,0.75172,0.75119,0.75167,581350.0022
07.07.2021 11:00:00.000 GMT+0100,0.75167,0.75168,0.75117,0.75123,1107789.9895
07.07.2021 11:15:00.000 GMT+0100,0.75126,0.75139,0.75092,0.75133,949159.9865000001
07.07.2021 11:30:00.000 GMT+0100,0.75131,0.75173,0.75101,0.75130,1014119.9953000001
07.07.2021 11:45:00.000 GMT+0100,0.75132,0.75172,0.75121,0.75160,855150.0112000001
07.07.2021 12:00:00.000 GMT+0100,0.75158,0.75187,0.75146,0.75173,775230.0014000001
07.07.2021 12:15:00.000 GMT+0100,0.75170,0.75179,0.75100,0.75111,780800.0069
07.07.2021 12:30:00.000 GMT+0100,0.75111,0.75173,0.75089,0.75168,560660.0026
07.07.2021 12:45:00.000 GMT+0100,0.75167,0.75259,0.75166,0.75233,1167510.0097999999
07.07.2021 13:00:00.000 GMT+0100,0.75232,0.75335,0.75226,0.75297,1679099.9984
07.07.2021 13:15:00.000 GMT+0100,0.75298,0.75318,0.75241,0.75256,1706329.9980000001
07.07.2021 13:30:00.000 GMT+0100,0.75255,0.75255,0.75148,0.75182,2131889.992
07.07.2021 13:45:00.000 GMT+0100,0.75178,0.75180,0.75066,0.75075,1904190.0102
07.07.2021 14:00:00.000 GMT+0100,0.75072,0.75124,0.75058,0.75075,2609450.0046
07.07.2021 14:15:00.000 GMT+0100,0.75071,0.75106,0.75051,0.75075,1414829.9864999999
07.07.2021 14:30:00.000 GMT+0100,0.75077,0.75172,0.75027,0.75077,3110159.9807
07.07.2021 14:45:00.000 GMT+0100,0.75080,0.75101,0.75032,0.75067,2094509.9868999997
07.07.2021 15:00:00.000 GMT+0100,0.75067,0.75077,0.74855,0.74874,2727460.0143999993
07.07.2021 15:15:00.000 GMT+0100,0.74874,0.74887,0.74715,0.74717,2981919.9981
07.07.2021 15:30:00.000 GMT+0100,0.74719,0.74743,0.74623,0.74692,3086869.9951999993
07.07.2021 15:45:00.000 GMT+0100,0.74693,0.74780,0.74679,0.74767,2635090.0039999997
07.07.2021 16:00:00.000 GMT+0100,0.74764,0.74810,0.74744,0.74763,2377229.9728
07.07.2021 16:15:00.000 GMT+0100,0.74763,0.74811,0.74756,0.74779,1736189.9949999999
07.07.2021 16:30:00.000 GMT+0100,0.74779,0.74867,0.74767,0.74854,1215950.0008
07.07.2021 16:45:00.000 GMT+0100,0.74858,0.74860,0.74807,0.74838,1162889.9993999996
07.07.2021 17:00:00.000 GMT+0100,0.74839,0.74867,0.74819,0.74845,977329.9941000001
07.07.2021 17:15:00.000 GMT+0100,0.74844,0.74866,0.74816,0.74854,774929.9963
07.07.2021 17:30:00.000 GMT+0100,0.74853,0.74867,0.74840,0.74855,745560.0033999999
07.07.2021 17:45:00.000 GMT+0100,0.74857,0.74877,0.74845,0.74871,734779.9968999998
07.07.2021 18:00:00.000 GMT+0100,0.74870,0.74874,0.74823,0.74856,543180.0058
07.07.2021 18:15:00.000 GMT+0100,0.74854,0.74857,0.74820,0.74826,465229.9987
07.07.2021 18:30:00.000 GMT+0100,0.74825,0.74860,0.74819,0.74827,447989.9979
07.07.2021 18:45:00.000 GMT+0100,0.74828,0.74862,0.74828,0.74846,455680.0003000001
07.07.2021 19:00:00.000 GMT+0100,0.74846,0.75066,0.74800,0.74967,6118899.9481
07.07.2021 19:15:00.000 GMT+0100,0.74968,0.75048,0.74956,0.74970,3021059.9746
07.07.2021 19:30:00.000 GMT+0100,0.74970,0.74975,0.74905,0.74911,1450919.9866
07.07.2021 19:45:00.000 GMT+0100,0.74909,0.74933,0.74856,0.74860,1079520.0159
07.07.2021 20:00:00.000 GMT+0100,0.74858,0.74874,0.74827,0.74835,893000
07.07.2021 20:15:00.000 GMT+0100,0.74835,0.74855,0.74826,0.74829,838679.9984999999
